"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2016",0.33,
"AUT","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"BEL","INCOMEINEQ","GINI","INEQ","A","2016",0.266,
"CAN","INCOMEINEQ","GINI","INEQ","A","2016",0.307,
"CZE","INCOMEINEQ","GINI","INEQ","A","2016",0.253,
"DNK","INCOMEINEQ","GINI","INEQ","A","2015",0.263,
"FIN","INCOMEINEQ","GINI","INEQ","A","2017",0.266,
"FRA","INCOMEINEQ","GINI","INEQ","A","2016",0.291,
"DEU","INCOMEINEQ","GINI","INEQ","A","2016",0.294,
"GRC","INCOMEINEQ","GINI","INEQ","A","2016",0.333,
"HUN","INCOMEINEQ","GINI","INEQ","A","2014",0.288,
"ISL","INCOMEINEQ","GINI","INEQ","A","2015",0.255,
"IRL","INCOMEINEQ","GINI","INEQ","A","2015",0.297,
"ITA","INCOMEINEQ","GINI","INEQ","A","2016",0.328,
"JPN","INCOMEINEQ","GINI","INEQ","A","2015",0.339,
"KOR","INCOMEINEQ","GINI","INEQ","A","2017",0.355,
"LUX","INCOMEINEQ","GINI","INEQ","A","2016",0.304,
"MEX","INCOMEINEQ","GINI","INEQ","A","2016",0.458,
"NLD","INCOMEINEQ","GINI","INEQ","A","2016",0.285,"P"
"NZL","INCOMEINEQ","GINI","INEQ","A","2014",0.349,
"NOR","INCOMEINEQ","GINI","INEQ","A","2017",0.262,
"POL","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"PRT","INCOMEINEQ","GINI","INEQ","A","2016",0.331,
"SVK","INCOMEINEQ","GINI","INEQ","A","2016",0.241,
"ESP","INCOMEINEQ","GINI","INEQ","A","2016",0.341,
"SWE","INCOMEINEQ","GINI","INEQ","A","2017",0.282,
"CHE","INCOMEINEQ","GINI","INEQ","A","2015",0.296,
"TUR","INCOMEINEQ","GINI","INEQ","A","2015",0.404,
"GBR","INCOMEINEQ","GINI","INEQ","A","2016",0.351,
"USA","INCOMEINEQ","GINI","INEQ","A","2016",0.391,
"CHL","INCOMEINEQ","GINI","INEQ","A","2015",0.454,
"EST","INCOMEINEQ","GINI","INEQ","A","2016",0.314,
"ISR","INCOMEINEQ","GINI","INEQ","A","2017",0.344,
"SVN","INCOMEINEQ","GINI","INEQ","A","2016",0.244,
"LVA","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"LTU","INCOMEINEQ","GINI","INEQ","A","2016",0.378,
"CRI","INCOMEINEQ","GINI","INEQ","A","2017",0.48,
"ZAF","INCOMEINEQ","GINI","INEQ","A","2015",0.62,"P"
